pharmacie_id,medicament_id,disponible,quantite,stock_status,estimated_restock_hours,last_update
1,2801,1,18,Disponible,0,2026-03-09 14:00:00
1,974,0,0,Indisponible,24,2026-03-08 00:00:00
1,2819,1,11,Disponible,0,2026-03-07 19:00:00
1,2605,1,14,Disponible,0,2026-03-11 23:00:00
1,970,1,23,Disponible,0,2026-03-10 11:00:00
1,2551,1,1,Stock faible,0,2026-03-10 19:00:00
1,325,1,18,Disponible,0,2026-03-10 10:00:00
1,1984,0,0,Sur commande,12,2026-03-11 12:00:00
1,1802,1,11,Disponible,0,2026-03-07 21:00:00
1,820,1,9,Disponible,0,2026-03-07 06:00:00
1,1860,1,23,Disponible,0,2026-03-10 18:00:00
1,1199,0,0,Sur commande,12,2026-03-10 13:00:00
1,1400,0,0,Indisponible,48,2026-03-09 20:00:00
1,2442,0,0,Indisponible,48,2026-03-09 16:00:00
1,818,1,12,Disponible,0,2026-03-09 23:00:00
1,1523,1,13,Disponible,0,2026-03-10 03:00:00
1,1878,0,0,Sur commande,12,2026-03-10 17:00:00
1,1948,0,0,Sur commande,12,2026-03-10 04:00:00
1,608,0,0,Sur commande,12,2026-03-09 01:00:00
1,1733,1,15,Disponible,0,2026-03-09 12:00:00
1,1554,1,1,Stock faible,0,2026-03-10 21:00:00
1,773,1,24,Disponible,0,2026-03-11 10:00:00
1,2395,1,20,Disponible,0,2026-03-09 03:00:00
1,2633,1,6,Disponible,0,2026-03-08 11:00:00
1,1388,1,3,Stock faible,0,2026-03-11 10:00:00
1,797,0,0,Sur commande,24,2026-03-11 09:00:00
1,324,1,15,Disponible,0,2026-03-09 10:00:00
1,1352,0,0,Indisponible,6,2026-03-10 14:00:00
1,950,1,4,Stock faible,0,2026-03-11 08:00:00
1,1858,1,9,Disponible,0,2026-03-09 01:00:00
1,939,0,0,Indisponible,48,2026-03-08 20:00:00
1,856,1,4,Stock faible,0,2026-03-10 14:00:00
1,176,1,5,Stock faible,0,2026-03-10 08:00:00
1,2166,1,16,Disponible,0,2026-03-08 06:00:00
1,2658,1,17,Disponible,0,2026-03-07 09:00:00
1,179,1,14,Disponible,0,2026-03-10 16:00:00
1,2742,1,3,Stock faible,0,2026-03-07 01:00:00
1,2156,1,4,Stock faible,0,2026-03-07 15:00:00
1,2245,1,1,Stock faible,0,2026-03-11 01:00:00
1,476,1,5,Stock faible,0,2026-03-07 11:00:00
1,415,1,5,Stock faible,0,2026-03-09 03:00:00
1,1630,1,1,Stock faible,0,2026-03-08 11:00:00
1,1625,1,1,Stock faible,0,2026-03-09 21:00:00
1,2409,1,17,Disponible,0,2026-03-07 21:00:00
1,1287,1,12,Disponible,0,2026-03-08 01:00:00
1,2298,1,5,Stock faible,0,2026-03-07 14:00:00
1,1885,1,10,Disponible,0,2026-03-07 07:00:00
1,2254,1,13,Disponible,0,2026-03-07 09:00:00
1,2755,1,15,Disponible,0,2026-03-11 12:00:00
1,1968,0,0,Indisponible,6,2026-03-11 18:00:00
1,1068,0,0,Indisponible,72,2026-03-09 03:00:00
1,936,1,20,Disponible,0,2026-03-08 08:00:00
1,1110,1,8,Disponible,0,2026-03-07 04:00:00
1,1093,1,22,Disponible,0,2026-03-08 14:00:00
1,2202,1,4,Stock faible,0,2026-03-09 20:00:00
1,1778,1,3,Stock faible,0,2026-03-10 08:00:00
1,240,1,12,Disponible,0,2026-03-09 20:00:00
1,1740,1,2,Stock faible,0,2026-03-08 01:00:00
1,1786,0,0,Sur commande,24,2026-03-07 07:00:00
1,1297,1,15,Disponible,0,2026-03-08 18:00:00
1,2184,1,20,Disponible,0,2026-03-08 21:00:00
1,1632,1,6,Disponible,0,2026-03-11 00:00:00
1,1185,1,23,Disponible,0,2026-03-11 09:00:00
1,1421,1,4,Stock faible,0,2026-03-08 09:00:00
1,197,1,19,Disponible,0,2026-03-11 08:00:00
1,1103,0,0,Indisponible,48,2026-03-09 19:00:00
1,2577,1,20,Disponible,0,2026-03-11 14:00:00
1,1112,1,2,Stock faible,0,2026-03-09 10:00:00
1,513,1,17,Disponible,0,2026-03-12 00:00:00
1,611,1,16,Disponible,0,2026-03-08 09:00:00
1,81,1,20,Disponible,0,2026-03-10 20:00:00
1,876,0,0,Sur commande,6,2026-03-09 01:00:00
1,492,1,19,Disponible,0,2026-03-09 22:00:00
1,2036,1,19,Disponible,0,2026-03-10 08:00:00
1,1772,0,0,Sur commande,48,2026-03-08 01:00:00
1,2482,1,2,Stock faible,0,2026-03-07 05:00:00
1,2489,0,0,Indisponible,24,2026-03-11 07:00:00
1,888,1,24,Disponible,0,2026-03-07 08:00:00
1,195,1,8,Disponible,0,2026-03-10 03:00:00
1,991,0,0,Indisponible,48,2026-03-09 22:00:00
1,971,0,0,Sur commande,24,2026-03-11 10:00:00
1,2573,1,16,Disponible,0,2026-03-11 23:00:00
1,1824,1,14,Disponible,0,2026-03-10 13:00:00
1,1046,1,6,Disponible,0,2026-03-10 12:00:00
1,2449,0,0,Sur commande,48,2026-03-10 02:00:00
1,1945,0,0,Indisponible,12,2026-03-07 01:00:00
1,1209,1,6,Disponible,0,2026-03-08 17:00:00
1,2679,1,4,Stock faible,0,2026-03-07 13:00:00
1,1881,1,3,Stock faible,0,2026-03-11 07:00:00
1,1146,1,1,Stock faible,0,2026-03-07 11:00:00
1,381,1,1,Stock faible,0,2026-03-12 00:00:00
1,667,1,24,Disponible,0,2026-03-08 00:00:00
1,1036,1,10,Disponible,0,2026-03-11 18:00:00
1,956,0,0,Indisponible,72,2026-03-07 19:00:00
