code,nom,dci,forme,dosage
6118001230068,URO / EAU POUR IRRIGATION,EAU POUR PREPARATION INJECTABLE,SOLUTION POUR IRRIGATION,3000 ML
6118010116230,ELOXATINE 5 MG/ML,OXALIPLATINE,SOLUTION A DILUER POUR PERFUSION,200 MG
6118001182459,VIVALAN,VILOXAZINE,COMPRIME PELLICULE,100 MG
6118000120155,ZADRYL,CETIRIZINE,SOLUTION BUVABLE,1 MG
6118000241256,MYNAZOL,FLUCONAZOLE,GELULE,50 MG
6118000091974,ALFACEFAL 125 MG/5 ML,CEFACLOR,POUDRE POUR SUSPENSION BUVABLE,1.5 G
6118000041344,NOCAND 50 MG,FLUCONAZOLE,GELULE,50 MG
6118000100270,MEDIATOR,BENFLUOREX,COMPRIME ENROBE,150 MG
6118000071068,GASTROLIBER,LANSOPRAZOLE,GELULE GASTRO-RESISTANTE,30 MG
6118000180142,CLOFENE,DICLOFENAC,COMPRIME ENROBE GASTRO-RESISTANT,25 MG
6118001170456,ZELDOX,ZIPRASIDONE,GELULE,40 MG
6118001170333,TRIFLUCAN,FLUCONAZOLE,SOLUTION POUR PERFUSION,2 MG
6118000031079,AVT,ACIDE ACETYLSALICYLIQUE / THIAMINE (VITAMINE B1),SUPPOSITOIRE,600 / 5 MG / MG
6118000150121,KLONOPIN,CLONAZEPAM,COMPRIME QUADRISECABLE,2 MG
6118000032182,HYDROXO 5000,HYDROXOCOBALAMINE,SOLUTION INJECTABLE,5000 µG
6118000140160,DISPAMOX,AMOXICILLINE,COMPRIME DISPERSIBLE,500 MG
6118000180418,MUSARIL,TETRAZEPAM,COMPRIME ENROBE,50 MG
6118000100225,PRETERAX,INDAPAMIDE / PERINDOPRIL,COMPRIME SECABLE,0.625 / 2 MG / MG
6118001080304,CLAFORAN,CEFOTAXIME,POUDRE POUR SOLUTION INJECTABLE,1 G
6118000080497,RHINOFEBRAL,PARACETAMOL / CHLORPHENAMINE,GELULE,240 / 3.2 MG / MG
6118000091547,RIFASONE,RIFAMYCINE / PREDNISOLONE,POMMADE,0.25 / 1 G / G
6118000240426,FLUIBRON,AMBROXOL,SOLUTION BUVABLE,0.3 %
6118000160168,AMOXIL,AMOXICILLINE,POUDRE POUR SUSPENSION BUVABLE,500 MG
6118000240150,BENCLAMID,GLIBENCLAMIDE,COMPRIME,5 MG
