pharmacie_id,osm_id,name,address,postcode,lat,lon,type_garde,is_garde,open_time,close_time
1,node/2328215997,Pharmacie Anegay صيدلية أنغاي,8 Rue Siaghine,90000.0,35.7851172,-5.8124517,normal,0,08:30,20:00
2,node/2328216020,Pharmacie Bab Bhar صيدلية باب البحر,Rue Bab El Assa,90000.0,35.7878722,-5.8117732,normal,0,08:30,20:00
3,node/2328216145,Pharmacie Al Maghrib صيدلية المغرب,56 Rue de la Liberté شارع الحرية,90000.0,35.7826008,-5.8129687,normal,0,08:30,20:00
4,node/2907705733,Pharmacie Moderne صيدلية العصرية,Place du 9 avril,90000.0,35.784065,-5.8126868,normal,0,08:30,20:00
5,node/3118757839,Pharmacie Cervantes صيدلية سيرفانطيس,Rue Anoual زنقة انوال,90000.0,35.7826706,-5.8104385,garde_nuit,1,20:00,08:30
6,node/4660303464,Pharmacie Masjid Al Azhar صيدلية مسجد الأزهر,Rue Abderahman Kawakibi,90000.0,35.7606341,-5.825484,normal,0,08:30,20:00
7,node/4793814321,Pharmacie Al Aouama Al Gharbia صيدلية العوامة الغربية,Avenue Al Quds,90000.0,35.7261824,-5.8038898,normal,0,08:30,20:00
8,node/4793814421,Pharmacie Al Hanae صيدلية الهناء,Avenue Al Quds,90000.0,35.7308435,-5.8029761,normal,0,08:30,20:00
9,node/5018122422,Pharmacie Marbella صيدلية مربيا,Route de Tétouan,90000.0,35.7264593,-5.7564234,garde_nuit,1,20:00,08:30
10,node/5043501022,Pharmacie De La Plage صيدلية الشاطئ,7 Avenue Yousef Bnou Tachafine,90000.0,35.778779,-5.8025272,normal,0,08:30,20:00
11,node/5575040835,صيدلية اليسر,Boulevard Mohamed V,,35.7786487,-5.8079357,garde_nuit,1,20:00,08:30
12,node/5577523877,Pharmacie du Soleil صيدلية الشمس,111 Boulevard Prince Heritier,90000.0,35.7748656,-5.810182,normal,0,08:30,20:00
13,node/5591112169,Pharmacie du Conseil صيدلية النصيحة,16 Avenue Koweit,90000.0,35.7377338,-5.8085571,normal,0,08:30,20:00
14,node/5593629055,Pharmacie Al Baraka صيدلية البركة,Place du Koweit,90000.0,35.7815245,-5.8211285,normal,0,08:30,20:00
